split,h5_index,h5_path,window_id,start_frame,end_frame,num_points
train,0,/mnt/data/3d_projects/models/Stage5/_dummy_training_check/data/train/dummy_train_000_pointcloud_annotated_grid.h5,0,0,7,256
train,0,/mnt/data/3d_projects/models/Stage5/_dummy_training_check/data/train/dummy_train_000_pointcloud_annotated_grid.h5,1,4,11,256
train,0,/mnt/data/3d_projects/models/Stage5/_dummy_training_check/data/train/dummy_train_000_pointcloud_annotated_grid.h5,2,8,15,256
train,1,/mnt/data/3d_projects/models/Stage5/_dummy_training_check/data/train/dummy_train_001_pointcloud_annotated_grid.h5,0,0,7,256
train,1,/mnt/data/3d_projects/models/Stage5/_dummy_training_check/data/train/dummy_train_001_pointcloud_annotated_grid.h5,1,4,11,256
train,1,/mnt/data/3d_projects/models/Stage5/_dummy_training_check/data/train/dummy_train_001_pointcloud_annotated_grid.h5,2,8,15,256
train,2,/mnt/data/3d_projects/models/Stage5/_dummy_training_check/data/train/dummy_train_002_pointcloud_annotated_grid.h5,0,0,7,256
train,2,/mnt/data/3d_projects/models/Stage5/_dummy_training_check/data/train/dummy_train_002_pointcloud_annotated_grid.h5,1,4,11,256
train,2,/mnt/data/3d_projects/models/Stage5/_dummy_training_check/data/train/dummy_train_002_pointcloud_annotated_grid.h5,2,8,15,256
train,3,/mnt/data/3d_projects/models/Stage5/_dummy_training_check/data/train/dummy_train_003_pointcloud_annotated_grid.h5,0,0,7,256
train,3,/mnt/data/3d_projects/models/Stage5/_dummy_training_check/data/train/dummy_train_003_pointcloud_annotated_grid.h5,1,4,11,256
train,3,/mnt/data/3d_projects/models/Stage5/_dummy_training_check/data/train/dummy_train_003_pointcloud_annotated_grid.h5,2,8,15,256
