class_id,class_name,label_count,pred_count,intersection,union,iou
0,ceiling,1691,462,367,1786,0.20548712206047032
1,floor,3354,3362,3352,3364,0.9964328180737217
2,wall,8978,10537,7894,11621,0.6792874967730832
3,beam,0,313,0,313,0.0
4,column,0,422,0,422,0.0
5,window,0,0,0,0,nan
6,door,3525,2756,2724,3557,0.7658138881079561
7,chair,0,1,0,1,0.0
8,table,0,122,0,122,0.0
9,bookcase,0,63,0,63,0.0
10,sofa,0,900,0,900,0.0
11,board,0,0,0,0,nan
12,clutter,6452,5062,3581,7933,0.45140552124038824
